No.,Lab No.,เลขที่รับ,Report No.,Received Date,Analysis Date,Report Date,Sample Code,Sample Name,Supplier,"Production Date
 / Lot",หน่วยงาน,Cost Center,"Sample 
Condition",Result,,,,,,หมายเหตุ,,
,,,,,,,,,,,,,,"Organo
phosphate",Carbamate,"Organo
chlorine",Pyrethroid,"Chloram
phenicol",Nitrofuran,,,
46,C.046/01,C.260103/03,260105/23,2/1/2026,5/1/2026,5-ม.ค.-26,71000010,พริกขี้หนูแดง,ซีพีเฟรซ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
47,C.047/01,C.260103/03,260105/24,2/1/2026,5/1/2026,5-ม.ค.-26,71000135,แตงกวาญี่ปุ่น,ซีพีเฟรซ,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
48,C.048/01,C.260105/01,260105/01,2/1/2026,5/1/2026,5-ม.ค.-26,71008054,คื่นช่าย,มามา,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
49,C.049/01,C.260105/01,260105/02,2/1/2026,5/1/2026,5-ม.ค.-26,71000060,ถั่วฝักยาว,มามา,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
50,C.050/01,C.260105/01,260105/03,2/1/2026,5/1/2026,5-ม.ค.-26,71006013,ขิงสด,มามา,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
51,C.051/01,C.260105/01,260105/04,2/1/2026,5/1/2026,5-ม.ค.-26,71000040,มะเขือพวง,มามา,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
52,C.052/01,C.260105/01,260105/05,2/1/2026,5/1/2026,5-ม.ค.-26,71012017,ผักชีฝรั่ง,มามา,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
53,C.053/01,C.260105/01,260105/06,2/1/2026,5/1/2026,5-ม.ค.-26,71006013,ขิงสด,เฟรชลี่,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
54,C.054/01,C.260105/01,260105/07,2/1/2026,5/1/2026,5-ม.ค.-26,71006013,ขิงสด,โกลด์สตาร์,ร.260102,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
55,C.055/01,C.260105/02,260105/08,3/1/2026,5/1/2026,5-ม.ค.-26,71006013,ขิงสด,เฟรชลี่,ร.260103,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
56,C.056/01,C.260105/02,260105/09,3/1/2026,5/1/2026,5-ม.ค.-26,71000238,แครอทไทยปอกเปลือก,PDS,ร.260103,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
57,C.057/01,C.260105/02,260105/10,3/1/2026,5/1/2026,5-ม.ค.-26,71000236,หอมใหญ่ตัดแต่ง,PDS,ร.260103,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
58,C.058/01,C.260105/02,260105/11,3/1/2026,5/1/2026,5-ม.ค.-26,71000247,พริกชี้ฟ้าแดง,PDS,ร.260103,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
59,C.059/01,C.260105/02,260105/12,3/1/2026,5/1/2026,5-ม.ค.-26,71000297,มะเขือเทศราชินี,วิสาหกิจ ดอนตูม,ร.260103,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
60,C.060/01,C.260105/02,260105/13,3/1/2026,5/1/2026,5-ม.ค.-26,71000276,ผักกาดแก้ว,ฟาร์มเฟรช,ร.260103,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
61,C.061/01,C.260105/02,260105/14,3/1/2026,5/1/2026,5-ม.ค.-26,71000290,กรีนโอ๊ค,ฟาร์มเฟรช,ร.260103,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
62,C.062/01,C.260105/02,260105/15,3/1/2026,5/1/2026,5-ม.ค.-26,71000277,สลัดคอส,ฟาร์มเฟรช,ร.260103,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
63,C.063/01,C.260105/02,260105/16,3/1/2026,5/1/2026,5-ม.ค.-26,71000374,เรดแรดิช,ฟาร์มเฟรช,ร.260103,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
64,C.064/01,C.260105/03,260105/17,3/1/2026,5/1/2026,5-ม.ค.-26,71006013,ขิงสด,โกลด์สตาร์,ร.260103,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
65,C.065/01,C.260105/04,260105/18,4/1/2026,5/1/2026,5-ม.ค.-26,71000414,เซอเลอรี่,SN เฟรช,ร.260104,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
66,C.066/01,C.260105/04,260105/19,4/1/2026,5/1/2026,5-ม.ค.-26,71000051,ข่าแก่,เอสไปซ์,ร.260104,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
67,C.067/01,C.260105/04,260105/20,4/1/2026,5/1/2026,5-ม.ค.-26,71000173,ตะไคร้,เอสไปซ์,ร.260104,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
68,C.068/01,C.260105/04,260105/21,4/1/2026,5/1/2026,5-ม.ค.-26,71000350,มะเขือม่วงก้านดำ,สองมือพัฒนา,ร.260104,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
69,C.069/01,C.260105/04,260105/22,4/1/2026,5/1/2026,5-ม.ค.-26,71000253,ต้นหอม,ทวีทรัพย์,ร.260104,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
